cell_channel,protein_role,puncta_channel,puncta_id,pixel_count,mean_intensity,max_intensity,centroid_x_um,centroid_y_um,centroid_z_um,centroid_inside_cell_flag,overlap_fraction_in_cell_pct,surface_distance_um,inside_mesh_flag,within_surface_threshold_flag,display_threshold_pass_flag,classification
Channel 1 mask,Protein 2,Mul(Channel 3)_xMask(Channel 3 mask),5157,382,0,0,269,338,51,True,73,1,True,True,True,inside_mesh
Channel 1 mask,Protein 2,Mul(Channel 3)_xMask(Channel 3 mask),5161,381,0,0,250,345,50,True,46,0,True,True,True,inside_mesh
Channel 1 mask,Protein 2,Mul(Channel 3)_xMask(Channel 3 mask),5162,744,0,0,398,348,51,False,30,1,False,True,True,surface_shell
Channel 1 mask,Protein 2,Mul(Channel 3)_xMask(Channel 3 mask),5163,18,0,0,367,345,49,False,39,1,False,True,True,surface_shell
Channel 1 mask,Protein 2,Mul(Channel 3)_xMask(Channel 3 mask),5166,701,0,0,416,353,53,True,39,1,True,True,True,inside_mesh
Channel 1 mask,Protein 2,Mul(Channel 3)_xMask(Channel 3 mask),5170,86,0,0,243,356,50,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 2,Mul(Channel 3)_xMask(Channel 3 mask),5172,215,0,0,369,360,51,False,48,1,False,True,True,surface_shell
Channel 1 mask,Protein 2,Mul(Channel 3)_xMask(Channel 3 mask),5173,205,0,0,315,360,53,True,37,1,True,True,True,inside_mesh
Channel 1 mask,Protein 2,Mul(Channel 3)_xMask(Channel 3 mask),5174,5908,0,0,415,365,60,True,38,1,True,True,True,inside_mesh
Channel 1 mask,Protein 2,Mul(Channel 3)_xMask(Channel 3 mask),5175,29,0,0,324,363,49,False,21,0,False,True,True,surface_shell
Channel 1 mask,Protein 2,Mul(Channel 3)_xMask(Channel 3 mask),5181,5,0,0,301,393,49,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 2,Mul(Channel 3)_xMask(Channel 3 mask),5187,79,0,0,270,412,50,False,25,1,False,True,True,surface_shell
Channel 1 mask,Protein 2,Mul(Channel 3)_xMask(Channel 3 mask),5188,53,0,0,265,413,49,False,21,1,False,True,True,surface_shell
Channel 1 mask,Protein 2,Mul(Channel 3)_xMask(Channel 3 mask),5191,34,0,0,276,441,49,False,12,1,False,True,True,surface_shell
Channel 1 mask,Protein 2,Mul(Channel 3)_xMask(Channel 3 mask),5197,7,0,0,434,166,49,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 2,Mul(Channel 3)_xMask(Channel 3 mask),5199,42,0,0,438,166,50,True,76,1,True,True,True,inside_mesh
Channel 1 mask,Protein 2,Mul(Channel 3)_xMask(Channel 3 mask),5201,54,0,0,432,167,50,False,13,1,False,True,True,surface_shell
Channel 1 mask,Protein 2,Mul(Channel 3)_xMask(Channel 3 mask),5202,88,0,0,438,179,52,False,26,1,False,True,True,surface_shell
Channel 1 mask,Protein 2,Mul(Channel 3)_xMask(Channel 3 mask),5204,261,0,0,415,181,51,True,77,1,True,True,True,inside_mesh
Channel 1 mask,Protein 2,Mul(Channel 3)_xMask(Channel 3 mask),5205,540,0,0,399,182,54,False,17,0,False,True,True,surface_shell
Channel 1 mask,Protein 2,Mul(Channel 3)_xMask(Channel 3 mask),5210,5,0,0,404,227,49,False,20,0,False,True,True,surface_shell
Channel 1 mask,Protein 2,Mul(Channel 3)_xMask(Channel 3 mask),5211,126,0,0,423,229,51,True,36,0,True,True,True,inside_mesh
Channel 1 mask,Protein 2,Mul(Channel 3)_xMask(Channel 3 mask),5212,1048,0,0,397,236,53,False,44,1,False,True,True,surface_shell
Channel 1 mask,Protein 2,Mul(Channel 3)_xMask(Channel 3 mask),5213,49,0,0,403,238,50,False,12,0,False,True,True,surface_shell
Channel 1 mask,Protein 2,Mul(Channel 3)_xMask(Channel 3 mask),5215,155,0,0,418,241,51,False,14,1,False,True,True,surface_shell
Channel 1 mask,Protein 2,Mul(Channel 3)_xMask(Channel 3 mask),5219,2,0,0,420,254,49,True,50,0,True,True,True,inside_mesh
Channel 1 mask,Protein 2,Mul(Channel 3)_xMask(Channel 3 mask),5227,67,0,0,412,271,50,False,42,0,False,True,True,surface_shell
Channel 1 mask,Protein 2,Mul(Channel 3)_xMask(Channel 3 mask),5232,26,0,0,415,274,51,False,38,0,False,True,True,surface_shell
Channel 1 mask,Protein 2,Mul(Channel 3)_xMask(Channel 3 mask),5234,13,0,0,405,276,49,False,23,1,False,True,True,surface_shell
Channel 1 mask,Protein 2,Mul(Channel 3)_xMask(Channel 3 mask),5240,2,0,0,408,280,49,True,50,1,True,False,True,inside_mesh
Channel 1 mask,Protein 2,Mul(Channel 3)_xMask(Channel 3 mask),5244,56,0,0,416,288,50,False,29,1,False,True,True,surface_shell
Channel 1 mask,Protein 2,Mul(Channel 3)_xMask(Channel 3 mask),5245,66,0,0,333,293,50,True,79,1,True,True,True,inside_mesh
Channel 1 mask,Protein 2,Mul(Channel 3)_xMask(Channel 3 mask),5246,48,0,0,262,295,50,True,60,0,True,True,True,inside_mesh
Channel 1 mask,Protein 2,Mul(Channel 3)_xMask(Channel 3 mask),5247,41,0,0,313,305,50,True,98,1,True,True,True,inside_mesh
Channel 1 mask,Protein 2,Mul(Channel 3)_xMask(Channel 3 mask),5248,84,0,0,278,310,50,False,36,0,False,True,True,surface_shell
Channel 1 mask,Protein 2,Mul(Channel 3)_xMask(Channel 3 mask),5253,5,0,0,323,319,49,True,100,2,True,False,True,inside_mesh
Channel 1 mask,Protein 2,Mul(Channel 3)_xMask(Channel 3 mask),5255,37,0,0,283,321,50,False,8,1,False,True,True,surface_shell
Channel 1 mask,Protein 2,Mul(Channel 3)_xMask(Channel 3 mask),5256,6,0,0,263,323,49,True,67,1,True,True,True,inside_mesh
Channel 1 mask,Protein 2,Mul(Channel 3)_xMask(Channel 3 mask),5257,289,0,0,356,326,51,False,32,1,False,True,True,surface_shell
Channel 1 mask,Protein 2,Mul(Channel 3)_xMask(Channel 3 mask),5258,1760,0,0,386,329,55,False,35,1,False,True,True,surface_shell
Channel 1 mask,Protein 2,Mul(Channel 3)_xMask(Channel 3 mask),5261,66,0,0,256,332,51,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 2,Mul(Channel 3)_xMask(Channel 3 mask),5262,335,0,0,338,335,51,True,78,1,True,False,True,inside_mesh
Channel 1 mask,Protein 2,Mul(Channel 3)_xMask(Channel 3 mask),5263,1,0,0,395,336,49,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 2,Mul(Channel 3)_xMask(Channel 3 mask),5264,442,0,0,242,342,51,False,23,0,False,True,True,surface_shell
Channel 1 mask,Protein 2,Mul(Channel 3)_xMask(Channel 3 mask),5265,43,0,0,261,340,50,True,70,0,True,True,True,inside_mesh
Channel 1 mask,Protein 2,Mul(Channel 3)_xMask(Channel 3 mask),5267,132,0,0,323,343,51,False,19,1,False,True,True,surface_shell
Channel 1 mask,Protein 2,Mul(Channel 3)_xMask(Channel 3 mask),5272,1,0,0,240,362,49,True,100,1,True,False,True,inside_mesh
Channel 1 mask,Protein 2,Mul(Channel 3)_xMask(Channel 3 mask),5273,18,0,0,322,362,50,True,83,1,True,True,True,inside_mesh
Channel 1 mask,Protein 2,Mul(Channel 3)_xMask(Channel 3 mask),5278,101,0,0,307,374,51,False,23,1,False,True,True,surface_shell
Channel 1 mask,Protein 2,Mul(Channel 3)_xMask(Channel 3 mask),5284,1211,0,0,299,408,54,True,78,0,True,True,True,inside_mesh
Channel 1 mask,Protein 2,Mul(Channel 3)_xMask(Channel 3 mask),5288,86,0,0,242,419,50,False,2,1,False,True,True,surface_shell
Channel 1 mask,Protein 2,Mul(Channel 3)_xMask(Channel 3 mask),5294,651,0,0,277,435,53,False,29,1,False,True,True,surface_shell
Channel 1 mask,Protein 2,Mul(Channel 3)_xMask(Channel 3 mask),5301,309,0,0,443,158,54,False,43,0,False,True,True,surface_shell
Channel 1 mask,Protein 2,Mul(Channel 3)_xMask(Channel 3 mask),5302,2,0,0,425,169,50,False,0,0,False,True,True,surface_shell
