channel_a,channel_b,puncta_id_a,puncta_id_b,match_mode,centroid_distance_um,voxel_overlap_fraction_min_object_pct,pixel_count_a,pixel_count_b,mean_intensity_a,max_intensity_a,mean_intensity_b,max_intensity_b,centroid_x_a_um,centroid_y_a_um,centroid_z_a_um,centroid_x_b_um,centroid_y_b_um,centroid_z_b_um,inside_mesh_flag_a,inside_mesh_flag_b,within_surface_threshold_flag_a,within_surface_threshold_flag_b
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),238,603,centroid_distance,1,,10,20,7451,10375,1,1,75,36,5,76,36,6,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),1754,4792,centroid_distance,1,,167,7,11284,33215,1,1,72,79,13,73,79,12,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),2360,5657,centroid_distance,1,,769,381,9117,35071,1,1,52,72,16,52,72,15,True,True,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),1354,3049,centroid_distance,1,,1,22,9167,9167,1,1,77,32,10,76,32,10,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),721,2076,centroid_distance,1,,17,16,10914,16847,1,1,69,46,8,70,47,9,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),449,1266,centroid_distance,1,,46,9,11454,20815,1,1,97,38,7,98,38,7,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),2708,6575,centroid_distance,1,,923,63,10738,45887,1,1,94,47,17,93,46,17,True,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),2133,5910,centroid_distance,1,,1143,539,9184,37343,1,1,64,79,15,63,79,16,False,True,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),1569,4419,centroid_distance,1,,274,325,9329,30703,1,1,61,48,12,62,47,13,True,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),1585,4999,centroid_distance,1,,8069,206,9629,57663,1,1,47,58,13,48,59,13,False,True,True,True
