cell_channel,protein_role,puncta_channel,puncta_id,pixel_count,mean_intensity,max_intensity,centroid_x_um,centroid_y_um,centroid_z_um,centroid_inside_cell_flag,overlap_fraction_in_cell_pct,surface_distance_um,inside_mesh_flag,within_surface_threshold_flag,display_threshold_pass_flag,classification
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1142,1,6315,6315,90,24,10,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1143,1,6471,6471,90,24,10,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1144,7,9802,17071,76,28,10,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1145,75,10546,39039,90,28,10,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1146,282,8982,25951,77,29,10,False,24,0,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1147,9,10728,14047,87,29,10,False,0,0,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1148,411,8622,26575,79,33,10,False,21,0,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1149,149,9288,20991,88,33,10,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1150,14,10590,19695,80,34,10,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1151,1293,10131,41631,90,34,11,False,4,0,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1152,5,10212,10631,76,35,10,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1153,292,9204,29519,77,37,10,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1154,420,8771,23503,84,37,10,False,13,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1155,108,10134,25983,85,37,10,False,43,0,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1156,62,10000,29743,90,39,10,False,0,0,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1157,2,9319,9535,98,39,10,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1158,1,5075,5075,98,39,10,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1159,1,7463,7463,98,39,10,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1160,84,9848,25103,79,40,10,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1161,7,9879,14439,74,43,10,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1162,9,8297,11151,78,43,10,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1163,11,9123,13663,67,43,10,False,0,0,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1164,9,8901,13631,73,44,10,True,67,0,True,True,True,inside_mesh
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1165,62,9058,27599,64,45,10,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1166,54,10993,17215,98,45,10,False,2,0,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1168,2,10175,10679,56,47,10,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1169,1,10039,10039,60,48,10,False,0,0,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1170,17,9328,13855,71,48,10,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1171,27,9487,11839,91,49,10,False,19,0,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1172,4,11347,14615,84,49,10,False,0,0,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1173,1,4279,4279,69,49,10,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1174,4,9827,12175,57,49,10,False,0,0,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1175,8,10113,15439,78,50,10,True,100,0,True,True,True,inside_mesh
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1176,2,11419,11551,105,52,10,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1177,1,4763,4763,100,53,10,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1178,1,8223,8223,101,53,10,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1179,29,9890,16127,101,54,10,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1180,10,12528,21439,55,54,10,False,0,0,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1181,4,10961,12343,79,54,10,False,0,0,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1182,37,9937,15375,57,54,10,False,32,0,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1183,35,12511,31295,101,54,10,False,0,0,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1184,3778,9177,35551,65,55,12,False,56,0,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1185,1,10191,10191,100,55,10,False,0,0,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1186,2,9267,9895,86,56,10,False,0,0,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1187,2,10883,12367,84,57,10,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1188,557,11031,58239,65,58,11,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1189,16,10736,14047,65,58,10,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1190,60,9882,16191,53,59,10,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1191,164,10152,29231,97,59,10,False,1,0,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1192,2,10147,11055,74,60,10,False,0,0,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1193,3,8108,8687,52,60,10,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1194,163,12604,32831,60,61,10,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1195,1,9599,9599,104,61,10,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1196,1857,9180,41663,56,63,12,False,32,0,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1197,9,7284,9535,85,65,10,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1198,71,10851,19855,66,68,10,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1200,513,8973,21759,54,70,11,False,10,0,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1201,145,9128,17599,81,72,10,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1204,193,9169,20335,82,72,10,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1207,187,8409,17695,83,73,10,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1208,117,9760,18991,80,74,10,False,3,0,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1209,38,10672,18127,75,76,10,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1210,3,11674,13199,68,77,10,True,100,0,True,True,True,inside_mesh
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1212,1,9215,9215,75,79,10,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1214,7,9307,11239,76,80,10,True,86,0,True,True,True,inside_mesh
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1215,20,10284,16087,67,80,10,False,0,0,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1216,15,9086,13223,75,81,10,True,93,0,True,True,True,inside_mesh
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1217,18,7848,13919,80,81,10,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1218,19,11274,15671,65,81,10,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1219,71,10457,22911,66,82,10,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1220,10,7895,10959,64,83,10,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1221,31,12140,19791,58,83,10,False,23,0,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1222,8,11197,15639,65,83,10,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1224,552,10518,45535,66,85,10,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1225,216,9317,29743,55,85,10,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1226,142,8921,23455,67,85,10,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1228,34,10865,24943,90,14,10,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1229,3,9398,10847,88,16,10,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1230,54,9845,14823,91,19,10,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1231,120,9929,21583,88,33,10,False,3,0,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1232,653,9402,33311,83,35,10,False,11,0,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1233,2,5919,6799,80,35,10,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1234,12,12339,17327,81,39,10,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1235,31,9548,17759,93,39,10,True,45,0,True,True,True,inside_mesh
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1238,24,8803,11047,88,42,10,True,92,0,True,True,True,inside_mesh
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1239,3,7715,8055,103,43,10,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1240,102,9684,19439,71,43,10,False,0,1,False,True,True,surface_shell
